Paper_ID,Citation,Paper_Type,Core_Problem,Proposed_Method,Key_Assumptions,Datasets_Used,Main_Result,Limitations,Future_Work,Static_or_Dynamic,Single_or_MultiTier,Severity_Mentioned,Camp_Tag,RQ_Relevance,Contradicts_Aligns,Quality_Signal,Terminology_Definitions,Reusable_Figures
"1-SENS~1","Golyadkin M, Pozdnyakov V, Zhukov L, Makarov I. SensorSCAN: Self-Supervised Learning and Deep Clustering for Fault Diagnosis in Chemical Processes.","Framework-Model Proposal","Unsupervised fault detection and diagnosis in chemical processes without labeled data, addressing limitations of supervised methods and manual annotation.","SensorSCAN method combining self-supervised learning (SSL) with Transformer-based feature extractor and deep clustering (modified SCAN algorithm) for unsupervised fault detection, with semi-supervised fine-tuning option.","SSL pretraining can learn useful features from unlabeled data; deep clustering can separate fault classes; number of clusters can be estimated via t-SNE and overclustering; unlabeled data is abundant.","Tennessee Eastman Process (TEP) datasets: TEP_Rieth (500 runs per fault) and TEP_Ricker (100 runs per fault), using 30 sensors.","Outperforms existing unsupervised methods (PCA, ConvAE, ST-CatGAN) with +0.2-0.3 TPR at fixed FPR; achieves 98.29% and 97.74% accuracy on two TEP sub-datasets in supervised fine-tuning; unsupervised F1/accuracy metrics show significant improvement.","Requires pre-specification of approximate number of clusters; SSL pretraining is computationally intensive; performance depends on choice of augmentations and hyperparameters; some faults (3,9,15) remain challenging.","Explore other SSL techniques incorporating chemistry/physics domain knowledge; deep semi-supervised methods for fine-tuning; application to real industrial data with concept drift.","Dynamic + Justification: Model is designed for dynamic process data; sliding window captures temporal patterns; LSTM/Transformer handles sequential data.","Not Applicable","Yes: ""Incipient faults"" and difficult faults (3,9,15) mentioned; severity indicated by fault detection rates and detection delays; faults 3,9,15 have low FDRs.","dynamic-edge-orchestration","High: Directly addresses dynamic multi-tier orchestration of AI model complexity and resource allocation for fault detection; proposes SSL+clustering for anomaly detection.","Aligns with RQ focus on dynamic resource allocation for fault detection; proposes data-driven method for real-time detection.","Peer-reviewed","Key terms: Fault (deviation of process variable from acceptable range); Self-supervised learning (SSL); Deep clustering; SCAN algorithm; TPR/FPR; Tennessee Eastman Process.","Yes: Figure 1 (overview), Figure 2 (training schematic), Figure 3 (number of clusters vs performance), Figure 5 (ablation study visualizations), Figure 8-10 (model comparison visualizations)."
"2-Open-Set Fault Diagnosis in Multimode Processes via Fine-Grained Deep Feature Representation","Li G, Atoui MA, Li X. Open-Set Fault Diagnosis in Multimode Processes via Fine-Grained Deep Feature Representation.","Framework-Model Proposal","Open-set fault diagnosis in multimode processes where samples of same health state show multiple cluster distributions due to different operating modes, making it difficult to identify unknown faults.","Fine-grained Clustering and Rejection Network (FGCRN): integrates multiscale depthwise convolution, BiGRU, temporal attention, distance-based loss for intra-class compactness, unsupervised clustering for fine-grained representations, and EVT for unknown fault identification.","Samples of same health state form multiple clusters in feature space due to different operating modes; EVT can model tail distribution of distances for unknown fault identification; K-means++ can reveal intrinsic grouping structure.","Tennessee Eastman Process (TEP) and Continuous Stirred Tank Reactor (CSTR) datasets; also tested on Intelligent Process Control Test Facility (IPCTF) real system.","Achieves 98.03% average accuracy on TEP, 98.24% on CSTR, and 99.69% on IPCTF, significantly outperforming OpenMax, MaxLogit, GEN, and other OOD detection methods; FAR reduced to 1.28% on TEP.","Requires pre-specification of number of clusters (M); EVT threshold requires tuning; model categorizes all unknown faults as single "unknown" category without detailed unsupervised classification.","Incremental learning to incorporate labeled unknown faults into known categories; automated incremental learning-based fault diagnosis for multimode processes; improving unsupervised classification of unknown faults.","Dynamic + Justification: Model captures dynamic process behavior through BiGRU and temporal attention; handles time-series data from industrial processes.","Multi + Justification: Addresses multimode processes with multiple operating modes; constructs fine-grained representations for each health state across different operating modes.","Yes: Mentions ""incipient faults"" and severity levels; faults 3,9,15 are known to be difficult; safety-critical applications discussed.","open-set-multimode-fault-diagnosis","High: Directly addresses multi-tier orchestration for dynamic AI model complexity allocation and resource allocation under varying operating conditions; proposes fine-grained representations for open-set diagnosis.","Aligns with RQ focus on dynamic resource allocation for fault detection; extends to open-set scenarios.","Peer-reviewed","Key terms: Open-set fault diagnosis; Multimode processes; Fine-grained feature representation; Extreme Value Theory (EVT); Out-of-distribution (OOD) detection; Mahalanobis distance.","Yes: Figure 1 (t-SNE visualization of multicluster issue), Figure 3 (architecture), Figure 5-7 (workflow and results), Figure 9-12 (feature visualizations and confusion matrices)."
"3-Generalized Out-of-distribution Fault Diagnosis (GOOFD) via Internal Contrastive Learning","Wang X, Zhang H, Qiao X, Ma K, Tao S, Peng P, Wang H. Generalized Out-of-distribution Fault Diagnosis (GOOFD) via Internal Contrastive Learning.","Framework-Model Proposal","Lack of an integrated fault diagnosis system that can handle multiple subtasks (process monitoring, fault classification, and open-set fault diagnosis) simultaneously, with current methods treating them separately.","GOOFD framework integrating process monitoring, fault classification, and OSFD; ICL-OD method based on internal contrastive learning and Mahalanobis distance for unified outlier detection across tasks.","Internal contrastive learning (ICL) can generate embeddings that distinguish normal from fault samples; Mahalanobis distance is effective for outlier detection; unified feature extractor can serve multiple tasks.","Tennessee Eastman Process (TEP) and Multiphase Flow Facility (MFF) datasets; synthetic benchmark and real-world process data.","Outperforms single-task methods (PCA, KPCA, ICA, DPCA, SVM, OpenMax, CenterLoss, GEN) across process monitoring and OSFD tasks on both TEP and MFF datasets; achieves higher FDR and AUROC with better discriminative prediction scores.","ICL method depends on hyperparameters (subvector length l, temperature τ); Mahalanobis distance requires covariance matrix estimation; framework may not scale to very high-dimensional industrial data.","Expand GOOFD to cover more diagnostic subtasks; incorporate interpretability for transparency; improve handling of changing operating conditions; real-world validation on more industrial processes.","Dynamic + Justification: Uses contrastive learning for feature extraction from time-series data; handles variable operating conditions; Mahalanobis distance adapts to distribution changes.","Not Applicable","Yes: Fault severity is implied through detection rates; process monitoring detects deviations from normal; safety-critical applications in chemical processes.","unified-fault-diagnosis-framework","High: Directly addresses unified multi-tier orchestration for dynamic AI model complexity allocation; integrates process monitoring and OSFD; proposes ICL-OD for outlier detection.","Aligns with RQ focus on dynamic resource allocation; proposes unified framework.","Peer-reviewed","Key terms: Generalized Out-of-distribution Fault Diagnosis (GOOFD); Internal Contrastive Learning (ICL); Mahalanobis distance; Open-set classification; Out-of-distribution (OOD) detection; Process monitoring.","Yes: Figure 1 (framework comparison), Figure 2 (basic process), Figure 3-4 (confusion matrices and score distributions), Figure 5 (threshold selection)."
"4-ANOR~1","Li M, Peng P, Wang M, Wang H. An Order-Invariant and Interpretable Hierarchical Dilated Convolution Neural Network for Chemical Fault Detection and Diagnosis.","Framework-Model Proposal","CNN models are sensitive to feature order in tabular chemical process data and lack interpretability for root-cause analysis, limiting their performance and credibility.","Order-invariant and interpretable HDLCNN-SHAP method: feature clustering to agglomerate correlated features, dilated convolution for larger receptive field, and SHAP method for interpretability and root-cause feature identification.","Feature order affects CNN performance; dilated convolution can extract global features to reduce order sensitivity; hierarchical clustering can group correlated features; SHAP can quantify feature contributions.","Tennessee Eastman Process (TEP) benchmark dataset with 22 continuous measured variables.","Achieves 96.6% binary fault detection accuracy and 96.4% multi-class accuracy; outperforms PCA, KPCA, DSAE, CNN, DLCNN; identifies root-cause features (X(18) for Fault 10, X(9) for Fault 11) consistent with literature.","Requires hierarchical clustering pre-processing; SHAP computation can be expensive for large models; simultaneous-fault diagnosis not addressed; incomplete datasets not handled.","Simultaneous-fault diagnosis; faults with multiple root-cause features; incomplete and high-dimensional datasets; real-world chemical process validation.","Static + Justification: Model processes tabular data with features of arbitrary order but does not explicitly model temporal dynamics beyond sliding window; focuses on spatial feature extraction.","Not Applicable","Yes: Fault severity is implied through detection rates; process safety implications discussed.","interpretable-cnn-fault-detection","High: Addresses dynamic allocation of AI model complexity through hierarchical dilated convolution and interpretability; proposes SHAP for root-cause analysis.","Aligns with RQ focus on dynamic resource allocation; adds interpretability.","Peer-reviewed","Key terms: Dilated convolution; SHAP (Shapley Additive Explanations); Feature clustering; Hierarchical clustering; Root-cause feature identification; Order-invariant processing.","Yes: Figure 4 (overall architecture), Figure 5 (details), Figure 7-12 (t-SNE, confusion matrices, SHAP visualizations)."
"5-Autoencoder-assisted Feature Ensemble Net for Incipient Faults","Gao M, Wang M, Chen M. Autoencoder-assisted Feature Ensemble Net for Incipient Faults.","Framework-Model Proposal","Current deep learning networks (DLNs) have poor detection performance for incipient faults with tiny amplitude, particularly faults 3, 9, and 15 in TEP, even with prior information.","Autoencoder-assisted Feature Ensemble Net (AE-FENet): deep feature ensemble framework using unsupervised autoencoder for feature transformation instead of PCA, with multiple basic detectors and sliding window features.","Autoencoder can mine more exact features on incipient faults than PCA; replacing PCA with autoencoder in FENet improves detection performance; different autoencoder variants (sparse, attention, VAE) can be used.","Tennessee Eastman Process (TEP) benchmark dataset.","Achieves state-of-the-art average accuracy over 96% on faults 3, 9, and 15 in TEP; outperforms FENet significantly; demonstrates scalability with sparse AE, attention AE, and VAE variants (97.59% and 98.13% average FDR).","Computational cost of training multiple autoencoders; requires careful hyperparameter tuning; performance on other fault types not extensively analyzed; unsupervised nature may miss some fault patterns.","Explore other SSL techniques incorporating domain knowledge; deep semi-supervised methods for fine-tuning; application to other industrial processes with incipient faults.","Dynamic + Justification: Uses sliding windows and temporal features; designed for dynamic process data with incipient fault detection.","Not Applicable","Yes: Specifically addresses ""incipient faults"" with tiny amplitude; faults 3,9,15 are notoriously difficult; detection delay and FDR metrics provided.","incipient-fault-autoencoder-detection","High: Directly addresses dynamic allocation of AI model complexity for detecting incipient faults in real-time; proposes autoencoder-based feature ensemble for improved detection.","Aligns with RQ focus on dynamic resource allocation; specifically targets incipient faults.","Peer-reviewed","Key terms: Incipient faults; Autoencoder; Feature ensemble; Deep learning; TEP; FENet.","Yes: Figure 1 (general framework), Figure 2 (network structure), Figure 3 (autoencoder structure), Figure 4 (performance comparison)."
"6-Deep Anomaly Detection on Tennessee Eastman Process Data","Hartung F, Franks BJ, Michels T, Wagner D, Liznerski P, Reithermann S, Fellenz S, Jirasek F, Rudolph M, Neider D, Leitte H, Song C, Kloepper B, Mandt S, Bortz M, Burger J, Hasse H, Kloft M. Deep Anomaly Detection on Tennessee Eastman Process Data.","Survey / Empirical Study","Lack of comprehensive evaluation and comparison of modern deep-learning unsupervised anomaly detection methods for chemical process data, particularly on TEP benchmark.","Evaluation and comparison of 27 unsupervised deep anomaly detection methods for time series on TEP data, including reconstruction, forecasting, generative (VAE/GAN), one-class classification, and hybrid methods.","Deep anomaly detection methods can outperform shallow methods on time-series data; reconstruction methods perform best on average for TEP; generative models can also achieve high performance.","Tennessee Eastman Process (TEP) extended dataset with 20 fault types, 500 runs per fault, 52 features.","BeatGAN achieves best F1-score (0.9699) and AUPRC (0.9896); reconstruction methods (TCN-S2S-AE, Dense-AE, LSTM-AE) rank highly; provides first comprehensive benchmark of 27 deep AD methods on TEP.","TEP data is synthetic; real chemical process data may be more challenging; F1-score and AUPRC cannot assess longer periods and interdependent points fully; methods require extensive hyperparameter tuning.","Investigate additional metrics for time series; apply to real chemical process data; address data labeling challenges; explore online/adaptive methods for changing process conditions.","Dynamic + Justification: Evaluates time-series anomaly detection methods; methods handle sequential data and temporal dependencies.","Not Applicable","Yes: Fault severity is implicit in anomaly detection; safety-critical applications mentioned; detection of faults in chemical plants.","deep-anomaly-detection-benchmark","High: Directly addresses dynamic allocation of AI model complexity; benchmarks methods for real-time fault detection; identifies best-performing methods for dynamic resource allocation.","Aligns with RQ focus on dynamic resource allocation; provides comprehensive benchmark.","Peer-reviewed","Key terms: Anomaly detection; Deep learning; Time series; Unsupervised learning; TEP; F1-score; AUPRC.","Yes: Table 1 (methods comparison), Figure 4-5 (score distributions), Figure 6-7 (threshold and distance comparisons)."
"7-Explainability for Fault Detection System in Chemical Processes","Gravanis G, Kyriakou D, Voutetakis S, Papadopoulou S, Diamantaras K. Explainability for Fault Detection System in Chemical Processes.","Empirical Study","Deep learning models for fault detection lack transparency and interpretability, making it difficult for end users to trust their decisions in chemical process applications.","Application and comparison of two post-hoc XAI methods (Integrated Gradients and SHAP) to explain decisions of an LSTM classifier trained for fault detection in TEP; averaged attribution scores over 100 samples after fault introduction.","XAI methods can help identify the subsystem where fault occurred; SHAP and IG mostly agree on important features; SHAP may be more informative in some cases (IDV 8, 12, 18); results are reasonable and consistent with process knowledge.","XAI methods are model-agnostic and can be adapted to various applications; SHAP requires careful interpretation; computational cost of SHAP for large models.","Develop XAI methods specifically for multivariate time series data; apply to real industrial processes; improve interpretability of dynamic neural network models.","Dynamic + Justification: Explains LSTM classifier decisions on time-series chemical process data; handles dynamic and nonlinear process behavior.","Not Applicable","Yes: Fault severity discussed through grouping by affected subsystem; faults with high impact on reactor identified.","xai-fault-diagnosis","Medium: Addresses interpretability of AI models for fault detection; does not directly address multi-tier orchestration or dynamic resource allocation but supports trust in such systems.","Aligns with RQ focus on interpretability; supports deployment of dynamic systems.","Peer-reviewed","Key terms: Explainable AI (XAI); Integrated Gradients (IG); SHAP (Shapley Additive Explanations); Long Short-Term Memory (LSTM); Fault Detection and Diagnosis (FDD); Tennessee Eastman Process (TEP).","Yes: Figure 2 (heatmap of contributing features), Figure 3-8 (attribution scores, variable behavior plots)."
"8-Combining SHAP and Causal Analysis for Interpretable Fault Detection in Industrial Processes","Krohling RA. Combining SHAP and Causal Analysis for Interpretable Fault Detection in Industrial Processes.","Framework-Model Proposal","Industrial fault detection systems often yield opaque or underwhelming results despite advanced ML techniques; lack of interpretability and causal understanding of fault propagation.","Integrated framework combining SHAP-based feature selection with causal analysis using Directed Acyclic Graphs (DAGs) from multiple algorithms (PC, FCI, RFCI, LINGAM, NOTEARS) to identify critical process features and uncover causal mechanisms.","SHAP can identify most influential variables; DAGs can reveal causal mechanisms; reducing dimensionality to 10 variables maintains model performance; cooling and separation systems are pivotal to fault development.","Tennessee Eastman Process (TEP) dataset with 52 variables and 20 fault types.","Achieves 80% reduction in input variables (52 to 10) while maintaining MLP accuracy (0.872) and improving balanced accuracy (0.650 to 0.711); cooling variables (XMV.10, XMV.11) and stripper parameters consistently identified as causally significant across all five DAG algorithms.","Computational complexity of causal discovery; real-time applicability limited; temporal causal analysis not included; DAG algorithms may produce different structures; requires domain expertise for interpretation.","Scalable causal discovery algorithms or parallel computing; temporal causal analysis for dynamic fault propagation; integration with real-time monitoring systems; application to other industrial processes.","Static + Justification: Uses static SHAP feature importance and DAG causal structures from steady-state data; does not explicitly model temporal dynamics beyond feature correlation.","Not Applicable","Yes: Fault severity is implicit; safety-critical nature of chemical processes; risk assessment and abnormal situation management discussed.","interpretable-causal-fault-detection","High: Addresses dynamic allocation of AI model complexity by reducing dimensionality; provides interpretability for root-cause analysis; supports real-time monitoring decisions.","Aligns with RQ focus on dynamic resource allocation; adds interpretability and causal understanding.","Peer-reviewed","Key terms: SHAP (SHapley Additive exPlanations); Directed Acyclic Graphs (DAGs); Causal analysis; Feature selection; Process topology; Industrial fault detection.","Yes: Figure 3 (framework integration), Figure 4-5 (SHAP values), Figure 6-10 (DAG structures from different algorithms)."
"9-Fault Diagnosis of the Dynamic Chemical Process Based on the Optimized CNN-LSTM Network","Chen H, Cen J, Yang Z, Si W, Cheng H. Fault Diagnosis of the Dynamic Chemical Process Based on the Optimized CNN-LSTM Network. ACS Omega 2022, 7, 34389-34400.","Framework-Model Proposal","Existing CNN-LSTM methods lack proper mechanism to reflect correlation and importance of fault dynamic characteristics between different channels; LSTM gating causes unbalanced distribution of fault dynamic information.","CS-IMLSTM model combining CNN, Squeeze-and-Excitation (SE) attention mechanism, and improved LSTM (IMLSTM) with extended sliding window preprocessing to enhance dynamic features and balance fault information.","SE attention can weight important channel features; IMLSTM can balance fault information by modifying gating mechanism; extended sliding window can enhance dynamic characteristics.","Tennessee Eastman Process (TEP) with two sub-datasets (case 1: feed/flow faults; case 2: temperature faults).","Achieves 98.29% ± 0.0014 and 97.74% ± 0.0018 average accuracy on two TEP sub-datasets; outperforms CNN-LSTM, CS-LSTM, CNN-IMLSTM, LSTM, and CS-CNN; converges faster and more stable.","Requires large computer memory; hyperparameter tuning is complex; extended sliding window increases data size; only tested on TEP; multi-class fault diagnosis with more fault types not extensively explored.","Variable screening to improve data quality; network quantization, decomposition, and lightweight network design; application to other chemical processes; real-time implementation.","Dynamic + Justification: Specifically designed for dynamic chemical process fault diagnosis; uses extended sliding window to capture temporal evolution; IMLSTM balances fault information over time.","Not Applicable","Yes: Fault severity discussed in context of process safety and risk assessment; dynamic fault information for risk assessment and ASM.","dynamic-cnn-lstm-fault-diagnosis","High: Directly addresses dynamic allocation of AI model complexity; proposes optimized CNN-LSTM with attention for real-time fault diagnosis.","Aligns with RQ focus on dynamic resource allocation; provides high-accuracy method.","Peer-reviewed","Key terms: Squeeze-and-Excitation (SE) attention; Improved LSTM (IMLSTM); Extended sliding window; Dynamic fault features; Tennessee Eastman Process (TEP); Fault Detection and Diagnosis (FDD).","Yes: Figure 4-5 (extended sliding window and flow diagrams), Figure 7-11 (training/validation loss, confusion matrices, performance comparisons)."
"10-DEE~1","Kanno Y, Kaneko H. Deep Convolutional Neural Network with Deconvolution and a Deep Autoencoder for Fault Detection and Diagnosis. ACS Omega 2022, 7, 2458-2466.","Framework-Model Proposal","Existing deep learning methods for fault detection lack interpretability and cannot effectively assess process dynamics and nonlinearity between process variables simultaneously.","DDD (Deep Convolutional Neural Network with Deconvolution and Deep Autoencoder): combines CNN for temporal feature extraction with DAE for nonlinear feature extraction; uses T² and Q statistics for fault detection; applies Grad-CAM for diagnosis.","CNN can assess correlation between adjacent time elements; DAE can extract nonlinear relationships; Grad-CAM can visualize important input variables for each latent variable.","Tennessee Eastman Process (TEP) dataset with 22 continuous process variables.","Outperforms DAE and CNN in FNR/FAR metrics; achieves faster average detection delay (22.4 min vs 22.9 for DAE and 41.7 for CNN); successfully identifies root-cause variables using T² and Q contributions.","Requires validation data for hyperparameter selection; process data in normal states required; tensorial data analysis not fully explored; Grad-CAM applicability to unsupervised learning limited.","Application to tensorial data considering both process variables and dynamics; real-time implementation; extension to other industrial processes.","Dynamic + Justification: Uses CNN to assess temporal characteristics and DAE for nonlinear relationships; handles dynamic process data.","Not Applicable","Yes: Fault severity measured via FNR and FAR; detection delay analyzed; safety and economic implications discussed.","deep-cnn-autoencoder-fdd","High: Addresses dynamic allocation of AI model complexity; proposes DDD for real-time fault detection with interpretability.","Aligns with RQ focus on dynamic resource allocation; provides both detection and diagnosis.","Peer-reviewed","Key terms: Deep autoencoder (DAE); Convolutional neural network (CNN); Grad-CAM; T² and Q statistics; Fault detection and diagnosis; Tennessee Eastman Process (TEP).","Yes: Figure 2 (DDD concept), Figure 3 (detection delay), Figure 4-7 (time plots), Figure 8-11 (diagnosis results)."
